stop_id,stop_name,stop_desc,stop_lat,stop_lon
19045,capao redondo,,-23.659955,-46.768691
910777,luz,,-23.535297,-46.634703
1010053,bras,,-23.545582,-46.616314
1010054,bras,,-23.547751,-46.616127
1211339,butanta,,-23.571874,-46.708048
2314493,autodromo,,-23.706148,-46.688358
2600672,paulista,,-23.555071,-46.662131
2815191,usp leste,,-23.485691,-46.503078
3014630,grajau,,-23.736283,-46.697068
3305205,vergueiro,"Av. Dr. Gentil De Moura, 59 Ref.: R Vergueiro",-23.602566,-46.614291
3305749,alto do ipiranga,,-23.60213,-46.612593
3305845,sacoma,,-23.601192,-46.601963
3305856,tamanduatei,,-23.593116,-46.589667
3407190,campo belo,,-23.618357,-46.682067
3515230,jardim romano,,-23.485148,-46.386211
3515265,aracare,,-23.500329,-46.339044
3515266,calmon viana,,-23.525202,-46.333504
4011343,presidente altino,,-23.530253,-46.760683
4114459,vila aurora,,-23.437612,-46.747275
4406631,oscar freire,,-23.560414,-46.671819
5306691,eucaliptos,,-23.60984,-46.668649
5306694,moema,,-23.603386,-46.661974
6311285,faria lima,,-23.567399,-46.693451
6311368,fradique coutinho,,-23.566103,-46.684273
6714561,republica,,-23.544038,-46.642729
7206877,adolfo pinheiro,,-23.650083,-46.704237
7206943,alto da boa vista,,-23.641632,-46.699465
7206944,borba gato,,-23.633334,-46.693018
7206945,brooklin,,-23.626914,-46.688171
7206982,joao dias,,-23.639836,-46.723488
7405493,oratorio,,-23.582144,-46.561877
7405516,sao lucas,,-23.589,-46.544597
7405517,camilo haddad,,-23.595483,-46.537606
7405518,vila tolstoi,,-23.600932,-46.527049
7504951,jardim colonial,,-23.599042,-46.468949
7612124,sao miguel paulista,,-23.490494,-46.443699
7805208,vila uniao,,-23.60294,-46.515768
7805213,jardim planalto,,-23.606046,-46.507963
7805216,fazenda da juta,,-23.611853,-46.487579
7805217,sao mateus,,-23.612272,-46.477314
7805219,sapopemba,,-23.614677,-46.500834
8010123,luz,,-23.536598,-46.634502
8210163,tatuape,,-23.5401,-46.5765
8210164,tatuape,,-23.540189,-46.576374
9206443,chacara klabin,,-23.59299,-46.630999
9206548,hospital sao paulo,,-23.598381,-46.645612
9206549,santa cruz,,-23.598445,-46.636618
9206550,chacara klabin,,-23.5926,-46.6307
9505541,vila prudente,,-23.584447,-46.581943
9607525,vila sonia,,-23.591689,-46.735692
630014823,faria lima,"R. Baltazar Carrasco, 191 Ref.: R Baltazar Carrasco/ Av Brigadeiro Faria Lima",-23.564917,-46.694276
630015450,cidade jardim,"Av. Cidade Jardim, 702 Ref.: R Doutor Mario Ferraz/ R Aracari",-23.5829,-46.68609
670016596,brigadeiro,Viad. Brig. Luís Antônio Ref.: Av Vinte E Tres De Maio/ R Asdrubal Do Nascimento,-23.551641,-46.637333
790016355,jabaquara,"Av. Jabaquara, 3094 Ref.: Av Irere/ Av Ceci",-23.629086,-46.645905
800016594,brigadeiro,"Viad. Brig. Luís Antônio, 194 Ref.: R Riachuelo/ Av Vinte E Tres De Maio",-23.551289,-46.637013
800016595,brigadeiro,"Viad. Brig. Luís Antônio, 35 Ref.: Av Vinte E Tres De Maio/ R Asdrubal Do Nascimento",-23.551674,-46.637243
800016597,brigadeiro,"Viad. Brig. Luís Antônio, 54 Ref.: R Riachuelo/ Av Vinte E Tres De Maio",-23.551315,-46.637107
